Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JavaScriptTestSuite,Chrome 63.0.3239.84,Test suite for java script popup,2017-12-09 23:35:32,2017-12-09 23:35:52,20.244s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptAlertScriptMode,Chrome 63.0.3239.84,,2017-12-09 23:35:39,2017-12-09 23:35:43,3.922s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:35:40,2017-12-09 23:35:40,0.003s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:35:40,2017-12-09 23:35:40,0.008s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:35:40,2017-12-09 23:35:40,0.001s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:35:40,2017-12-09 23:35:40,0.186s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:35:40,2017-12-09 23:35:42,2.029s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:35:42,2017-12-09 23:35:42,0.030s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 23:35:42,2017-12-09 23:35:43,1.083s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:35:43,2017-12-09 23:35:43,0.105s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:35:43,2017-12-09 23:35:43,0.018s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 23:35:43,2017-12-09 23:35:43,0.019s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 23:35:43,2017-12-09 23:35:43,0.001s,NOT_RUN
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:35:43,2017-12-09 23:35:43,0.001s,NOT_RUN
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:35:43,2017-12-09 23:35:43,0.001s,NOT_RUN
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 23:35:43,2017-12-09 23:35:43,0.001s,NOT_RUN
