Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JavaScriptTestSuite,Chrome 63.0.3239.84,Test suite for java script popup,2017-12-09 16:27:35,2017-12-09 16:28:04,28.481s,FAILED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingConfirmationPopupScriptMode,Chrome 63.0.3239.84,,2017-12-09 16:27:45,2017-12-09 16:27:52,6.834s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 16:27:45,2017-12-09 16:27:45,0.002s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 16:27:45,2017-12-09 16:27:45,0.001s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 16:27:45,2017-12-09 16:27:45,0.001s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 16:27:45,2017-12-09 16:27:48,2.700s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 16:27:48,2017-12-09 16:27:50,2.033s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 16:27:50,2017-12-09 16:27:50,0.058s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 16:27:50,2017-12-09 16:27:51,1.191s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 16:27:51,2017-12-09 16:27:52,0.149s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.031s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.031s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.075s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.005s,PASSED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.023s,PASSED
Statement - println(alertText),Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.005s,PASSED
dismissAlert,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.023s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.131s,PASSED
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.001s,NOT_RUN
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.001s,NOT_RUN
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.000s,NOT_RUN
Start listener action : afterTestCase,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.107s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptAlertScriptMode,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:58,5.540s,FAILED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.001s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.001s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:52,0.001s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 16:27:52,2017-12-09 16:27:53,0.355s,FAILED
Start listener action : afterTestCase,Chrome 63.0.3239.84,,2017-12-09 16:27:53,2017-12-09 16:27:58,4.922s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptConfirmation,Chrome 63.0.3239.84,,2017-12-09 16:27:58,2017-12-09 16:28:03,5.083s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 16:27:58,2017-12-09 16:27:58,0.000s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 16:27:58,2017-12-09 16:27:58,0.001s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 16:27:58,2017-12-09 16:27:58,0.002s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 16:27:58,2017-12-09 16:27:58,0.140s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 16:27:58,2017-12-09 16:28:00,2.005s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 16:28:00,2017-12-09 16:28:00,0.034s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 16:28:00,2017-12-09 16:28:01,1.129s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 16:28:01,2017-12-09 16:28:01,0.115s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 16:28:01,2017-12-09 16:28:01,0.007s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 16:28:01,2017-12-09 16:28:01,0.008s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 16:28:01,2017-12-09 16:28:02,1.004s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 16:28:02,2017-12-09 16:28:03,0.148s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 16:28:03,2017-12-09 16:28:03,0.005s,PASSED
dismissAlert,Chrome 63.0.3239.84,,2017-12-09 16:28:03,2017-12-09 16:28:03,0.015s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 16:28:03,2017-12-09 16:28:03,0.015s,PASSED
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 16:28:03,2017-12-09 16:28:03,0.001s,NOT_RUN
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 16:28:03,2017-12-09 16:28:03,0.000s,NOT_RUN
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 16:28:03,2017-12-09 16:28:03,0.000s,NOT_RUN
Start listener action : afterTestCase,Chrome 63.0.3239.84,,2017-12-09 16:28:03,2017-12-09 16:28:03,0.076s,PASSED
