Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JavaScriptTestSuite,Chrome 63.0.3239.84,Test suite for java script popup,2017-12-09 23:52:19,2017-12-09 23:52:40,20.928s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptAlertScriptMode,Chrome 63.0.3239.84,,2017-12-09 23:52:27,2017-12-09 23:52:31,4.036s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:52:27,2017-12-09 23:52:27,0.004s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:52:27,2017-12-09 23:52:27,0.002s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:52:27,2017-12-09 23:52:27,0.006s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:52:27,2017-12-09 23:52:27,0.115s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:52:27,2017-12-09 23:52:29,2.020s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:52:29,2017-12-09 23:52:29,0.029s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 23:52:29,2017-12-09 23:52:30,1.064s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:52:30,2017-12-09 23:52:30,0.092s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:52:30,2017-12-09 23:52:30,0.016s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 23:52:30,2017-12-09 23:52:30,0.023s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 23:52:30,2017-12-09 23:52:30,0.001s,NOT_RUN
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:52:30,2017-12-09 23:52:30,0.002s,NOT_RUN
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:52:30,2017-12-09 23:52:30,0.000s,NOT_RUN
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 23:52:30,2017-12-09 23:52:30,0.000s,NOT_RUN
Start listener action : afterTestCase,Chrome 63.0.3239.84,,2017-12-09 23:52:30,2017-12-09 23:52:31,0.423s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptAlertScriptMode,Chrome 63.0.3239.84,,2017-12-09 23:52:31,2017-12-09 23:52:34,3.593s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:52:31,2017-12-09 23:52:31,0.002s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:52:31,2017-12-09 23:52:31,0.003s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:52:31,2017-12-09 23:52:31,0.001s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:52:31,2017-12-09 23:52:31,0.054s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:52:31,2017-12-09 23:52:33,2.001s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:52:33,2017-12-09 23:52:33,0.012s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 23:52:33,2017-12-09 23:52:34,1.075s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:52:34,2017-12-09 23:52:34,0.080s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:52:34,2017-12-09 23:52:34,0.004s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 23:52:34,2017-12-09 23:52:34,0.007s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 23:52:34,2017-12-09 23:52:34,0.001s,NOT_RUN
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:52:34,2017-12-09 23:52:34,0.000s,NOT_RUN
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:52:34,2017-12-09 23:52:34,0.000s,NOT_RUN
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 23:52:34,2017-12-09 23:52:34,0.001s,NOT_RUN
Start listener action : afterTestCase,Chrome 63.0.3239.84,,2017-12-09 23:52:34,2017-12-09 23:52:34,0.326s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptConfirmation,Chrome 63.0.3239.84,,2017-12-09 23:52:34,2017-12-09 23:52:39,4.853s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:52:35,2017-12-09 23:52:35,0.001s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:52:35,2017-12-09 23:52:35,0.001s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:52:35,2017-12-09 23:52:35,0.001s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:52:35,2017-12-09 23:52:35,0.066s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:52:35,2017-12-09 23:52:37,2.001s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:52:37,2017-12-09 23:52:37,0.011s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 23:52:37,2017-12-09 23:52:38,1.050s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:52:38,2017-12-09 23:52:38,0.084s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:52:38,2017-12-09 23:52:38,0.004s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 23:52:38,2017-12-09 23:52:38,0.009s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:52:38,2017-12-09 23:52:39,1.001s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:52:39,2017-12-09 23:52:39,0.051s,PASSED
