Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JavaScriptTestSuite,Chrome 63.0.3239.84,Test suite for java script popup,2017-12-09 13:53:16,2017-12-09 13:53:55,39.032s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingConfirmationPopupScriptMode,Chrome 63.0.3239.84,,2017-12-09 13:53:17,2017-12-09 13:53:31,14.291s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 13:53:17,2017-12-09 13:53:25,7.997s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 13:53:25,2017-12-09 13:53:25,0.159s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 13:53:25,2017-12-09 13:53:27,1.132s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 13:53:27,2017-12-09 13:53:27,0.178s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 13:53:27,2017-12-09 13:53:29,2.036s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 13:53:29,2017-12-09 13:53:29,0.058s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 13:53:29,2017-12-09 13:53:30,1.186s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 13:53:30,2017-12-09 13:53:30,0.143s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 13:53:30,2017-12-09 13:53:30,0.032s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 13:53:30,2017-12-09 13:53:30,0.021s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 13:53:30,2017-12-09 13:53:30,0.048s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 13:53:30,2017-12-09 13:53:30,0.004s,PASSED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 63.0.3239.84,,2017-12-09 13:53:30,2017-12-09 13:53:30,0.032s,PASSED
Statement - println(alertText),Chrome 63.0.3239.84,,2017-12-09 13:53:30,2017-12-09 13:53:30,0.007s,PASSED
dismissAlert,Chrome 63.0.3239.84,,2017-12-09 13:53:30,2017-12-09 13:53:30,0.041s,PASSED
