Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JavaScriptTestSuite,Chrome 63.0.3239.84,Test suite for java script popup,2017-12-09 23:27:48,2017-12-09 23:28:14,26.029s,FAILED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingConfirmationPopupScriptMode,Chrome 63.0.3239.84,,2017-12-09 23:27:57,2017-12-09 23:28:03,5.970s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:27:58,2017-12-09 23:27:58,0.002s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:27:58,2017-12-09 23:27:58,0.003s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:27:58,2017-12-09 23:27:58,0.000s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:27:58,2017-12-09 23:27:59,1.671s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:27:59,2017-12-09 23:28:01,2.031s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:28:01,2017-12-09 23:28:02,0.057s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 23:28:02,2017-12-09 23:28:03,1.104s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.100s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.021s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.020s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.069s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.005s,PASSED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.021s,PASSED
Statement - println(alertText),Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.004s,PASSED
dismissAlert,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.029s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.001s,NOT_RUN
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.001s,NOT_RUN
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.001s,NOT_RUN
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.001s,NOT_RUN
Start listener action : afterTestCase,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.140s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptAlertScriptMode,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:08,5.055s,FAILED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.001s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.004s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:03,0.001s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:28:03,2017-12-09 23:28:04,0.361s,FAILED
Start listener action : afterTestCase,Chrome 63.0.3239.84,,2017-12-09 23:28:04,2017-12-09 23:28:08,4.398s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptConfirmation,Chrome 63.0.3239.84,,2017-12-09 23:28:08,2017-12-09 23:28:13,4.804s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:28:08,2017-12-09 23:28:08,0.001s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:28:08,2017-12-09 23:28:08,0.001s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:28:08,2017-12-09 23:28:08,0.001s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:28:08,2017-12-09 23:28:09,0.109s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:28:09,2017-12-09 23:28:11,2.003s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:28:11,2017-12-09 23:28:11,0.022s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 23:28:11,2017-12-09 23:28:12,1.075s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:28:12,2017-12-09 23:28:12,0.100s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:28:12,2017-12-09 23:28:12,0.006s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 23:28:12,2017-12-09 23:28:12,0.012s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:28:12,2017-12-09 23:28:13,1.001s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:28:13,2017-12-09 23:28:13,0.072s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:28:13,2017-12-09 23:28:13,0.006s,PASSED
dismissAlert,Chrome 63.0.3239.84,,2017-12-09 23:28:13,2017-12-09 23:28:13,0.007s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 23:28:13,2017-12-09 23:28:13,0.001s,NOT_RUN
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:28:13,2017-12-09 23:28:13,0.001s,NOT_RUN
