Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JavaScriptTestSuite,Chrome 63.0.3239.84,Test suite for java script popup,2017-12-09 11:55:01,2017-12-09 11:55:37,36.372s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingConfirmationPopupScriptMode,Chrome 63.0.3239.84,,2017-12-09 11:55:01,2017-12-09 11:55:15,13.719s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 11:55:02,2017-12-09 11:55:09,6.983s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 11:55:09,2017-12-09 11:55:09,0.158s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 11:55:09,2017-12-09 11:55:11,1.181s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:55:11,2017-12-09 11:55:11,0.169s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 11:55:11,2017-12-09 11:55:13,2.033s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:55:13,2017-12-09 11:55:13,0.032s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 11:55:13,2017-12-09 11:55:14,1.120s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:55:14,2017-12-09 11:55:14,0.116s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 11:55:14,2017-12-09 11:55:14,0.015s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 11:55:14,2017-12-09 11:55:14,0.015s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:55:14,2017-12-09 11:55:14,0.074s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 11:55:14,2017-12-09 11:55:14,0.007s,PASSED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 63.0.3239.84,,2017-12-09 11:55:14,2017-12-09 11:55:14,0.029s,PASSED
Statement - println(alertText),Chrome 63.0.3239.84,,2017-12-09 11:55:14,2017-12-09 11:55:14,0.006s,PASSED
dismissAlert,Chrome 63.0.3239.84,,2017-12-09 11:55:14,2017-12-09 11:55:14,0.023s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 11:55:14,2017-12-09 11:55:14,0.081s,PASSED
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:55:14,2017-12-09 11:55:14,0.090s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:55:14,2017-12-09 11:55:14,0.007s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 11:55:14,2017-12-09 11:55:15,0.581s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptAlertScriptMode,Chrome 63.0.3239.84,,2017-12-09 11:55:15,2017-12-09 11:55:25,10.375s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 11:55:15,2017-12-09 11:55:20,5.017s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 11:55:20,2017-12-09 11:55:20,0.009s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 11:55:20,2017-12-09 11:55:21,1.111s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:55:21,2017-12-09 11:55:21,0.093s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 11:55:21,2017-12-09 11:55:23,2.001s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:55:23,2017-12-09 11:55:23,0.016s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 11:55:23,2017-12-09 11:55:25,1.076s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:55:25,2017-12-09 11:55:25,0.136s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 11:55:25,2017-12-09 11:55:25,0.004s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 11:55:25,2017-12-09 11:55:25,0.005s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 11:55:25,2017-12-09 11:55:25,0.011s,PASSED
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:55:25,2017-12-09 11:55:25,0.065s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:55:25,2017-12-09 11:55:25,0.008s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 11:55:25,2017-12-09 11:55:25,0.586s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptConfirmation,Chrome 63.0.3239.84,,2017-12-09 11:55:25,2017-12-09 11:55:37,11.758s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 11:55:26,2017-12-09 11:55:31,5.133s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 11:55:31,2017-12-09 11:55:31,0.009s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 11:55:31,2017-12-09 11:55:32,1.109s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:55:32,2017-12-09 11:55:32,0.166s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 11:55:32,2017-12-09 11:55:34,2.002s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:55:34,2017-12-09 11:55:34,0.014s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 11:55:34,2017-12-09 11:55:35,1.074s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:55:35,2017-12-09 11:55:35,0.140s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 11:55:35,2017-12-09 11:55:35,0.003s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 11:55:35,2017-12-09 11:55:35,0.006s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 11:55:35,2017-12-09 11:55:36,1.001s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:55:36,2017-12-09 11:55:36,0.106s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 11:55:36,2017-12-09 11:55:36,0.005s,PASSED
dismissAlert,Chrome 63.0.3239.84,,2017-12-09 11:55:36,2017-12-09 11:55:37,0.008s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 11:55:37,2017-12-09 11:55:37,0.002s,NOT_RUN
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:55:37,2017-12-09 11:55:37,0.078s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:55:37,2017-12-09 11:55:37,0.012s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 11:55:37,2017-12-09 11:55:37,0.565s,PASSED
