Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JavaScriptTestSuite,Chrome 63.0.3239.84,Test suite for java script popup,2017-12-09 11:56:11,2017-12-09 11:56:45,33.676s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingConfirmationPopupScriptMode,Chrome 63.0.3239.84,,2017-12-09 11:56:12,2017-12-09 11:56:24,12.585s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 11:56:13,2017-12-09 11:56:19,6.141s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 11:56:19,2017-12-09 11:56:19,0.113s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 11:56:19,2017-12-09 11:56:20,1.132s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:56:20,2017-12-09 11:56:20,0.114s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 11:56:20,2017-12-09 11:56:22,2.031s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:56:22,2017-12-09 11:56:22,0.030s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 11:56:22,2017-12-09 11:56:23,1.097s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:56:23,2017-12-09 11:56:23,0.116s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 11:56:23,2017-12-09 11:56:23,0.014s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 11:56:23,2017-12-09 11:56:23,0.025s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:56:23,2017-12-09 11:56:24,0.145s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 11:56:24,2017-12-09 11:56:24,0.005s,PASSED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 63.0.3239.84,,2017-12-09 11:56:24,2017-12-09 11:56:24,0.030s,PASSED
Statement - println(alertText),Chrome 63.0.3239.84,,2017-12-09 11:56:24,2017-12-09 11:56:24,0.005s,PASSED
dismissAlert,Chrome 63.0.3239.84,,2017-12-09 11:56:24,2017-12-09 11:56:24,0.036s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 11:56:24,2017-12-09 11:56:24,0.057s,PASSED
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:56:24,2017-12-09 11:56:24,0.092s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:56:24,2017-12-09 11:56:24,0.017s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 11:56:24,2017-12-09 11:56:24,0.591s,PASSED
,,,,,,
