Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JavaScriptTestSuite,Chrome 63.0.3239.84,Test suite for java script popup,2017-12-09 23:42:37,2017-12-09 23:42:58,20.384s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptAlertScriptMode,Chrome 63.0.3239.84,,2017-12-09 23:42:44,2017-12-09 23:42:48,4.048s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:42:45,2017-12-09 23:42:45,0.003s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:42:45,2017-12-09 23:42:45,0.002s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:42:45,2017-12-09 23:42:45,0.001s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:42:45,2017-12-09 23:42:45,0.097s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:42:45,2017-12-09 23:42:47,2.029s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:42:47,2017-12-09 23:42:47,0.035s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 23:42:47,2017-12-09 23:42:48,1.072s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:48,0.104s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:48,0.013s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:48,0.024s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:48,0.002s,NOT_RUN
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:48,0.001s,NOT_RUN
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:48,0.001s,NOT_RUN
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:48,0.001s,NOT_RUN
Start listener action : afterTestCase,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:48,0.393s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptAlertScriptMode,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:52,3.587s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:48,0.001s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:48,0.001s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:48,0.000s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:42:48,2017-12-09 23:42:49,0.049s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:42:49,2017-12-09 23:42:51,2.001s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:42:51,2017-12-09 23:42:51,0.012s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 23:42:51,2017-12-09 23:42:52,1.069s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:52,0.073s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:52,0.005s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:52,0.006s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:52,0.001s,NOT_RUN
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:52,0.001s,NOT_RUN
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:52,0.001s,NOT_RUN
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:52,0.000s,NOT_RUN
Start listener action : afterTestCase,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:52,0.350s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptConfirmation,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:57,4.827s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:52,0.000s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:52,0.001s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:52,0.001s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:52,0.075s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:42:52,2017-12-09 23:42:54,2.001s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:42:54,2017-12-09 23:42:54,0.012s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 23:42:54,2017-12-09 23:42:55,1.064s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:42:55,2017-12-09 23:42:56,0.077s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:42:56,2017-12-09 23:42:56,0.004s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 23:42:56,2017-12-09 23:42:56,0.009s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:42:56,2017-12-09 23:42:57,1.001s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:42:57,2017-12-09 23:42:57,0.057s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:42:57,2017-12-09 23:42:57,0.003s,PASSED
dismissAlert,Chrome 63.0.3239.84,,2017-12-09 23:42:57,2017-12-09 23:42:57,0.019s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 23:42:57,2017-12-09 23:42:57,0.000s,NOT_RUN
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:42:57,2017-12-09 23:42:57,0.000s,NOT_RUN
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:42:57,2017-12-09 23:42:57,0.001s,NOT_RUN
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 23:42:57,2017-12-09 23:42:57,0.001s,NOT_RUN
Start listener action : afterTestCase,Chrome 63.0.3239.84,,2017-12-09 23:42:57,2017-12-09 23:42:57,0.315s,PASSED
