Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VerificationTestSuite,Chrome 63.0.3239.84,,2017-12-09 12:17:29,2017-12-09 12:18:48,1m - 19.117s,FAILED
,,,,,,
Test Cases/Verification/TC-VerifyElementText,Chrome 63.0.3239.84,,2017-12-09 12:17:30,2017-12-09 12:18:00,30.356s,FAILED
Initialize,Chrome 63.0.3239.84,,2017-12-09 12:17:30,2017-12-09 12:17:47,16.370s,PASSED
com.helper.login.LoginHelper.loginIntoApplicationWith,Chrome 63.0.3239.84,,2017-12-09 12:17:47,2017-12-09 12:17:47,0.006s,NOT_RUN
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:17:47,2017-12-09 12:17:47,0.069s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2017-12-09 12:17:47,2017-12-09 12:17:47,0.058s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 12:17:47,2017-12-09 12:17:50,3.759s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:17:50,2017-12-09 12:17:51,0.151s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2017-12-09 12:17:51,2017-12-09 12:17:51,0.574s,PASSED
sendKeys,Chrome 63.0.3239.84,,2017-12-09 12:17:51,2017-12-09 12:17:52,0.372s,PASSED
sendKeys,Chrome 63.0.3239.84,,2017-12-09 12:17:52,2017-12-09 12:17:52,0.912s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 12:17:52,2017-12-09 12:17:57,4.233s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:17:57,2017-12-09 12:17:57,0.139s,PASSED
verifyTextPresent,Chrome 63.0.3239.84,,2017-12-09 12:17:57,2017-12-09 12:17:58,0.773s,FAILED
TearDown,Chrome 63.0.3239.84,,2017-12-09 12:17:58,2017-12-09 12:18:00,2.380s,PASSED
,,,,,,
Test Cases/Verification/TC-VerifySaveButton,Chrome 63.0.3239.84,,2017-12-09 12:18:00,2017-12-09 12:18:20,19.515s,PASSED
com.helper.login.LoginHelper.loginIntoApplicationWith,Chrome 63.0.3239.84,,2017-12-09 12:18:00,2017-12-09 12:18:11,10.761s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:18:11,2017-12-09 12:18:11,0.061s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 12:18:11,2017-12-09 12:18:13,2.007s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:18:13,2017-12-09 12:18:13,0.094s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2017-12-09 12:18:13,2017-12-09 12:18:14,0.207s,PASSED
sendKeys,Chrome 63.0.3239.84,,2017-12-09 12:18:14,2017-12-09 12:18:14,0.181s,PASSED
sendKeys,Chrome 63.0.3239.84,,2017-12-09 12:18:14,2017-12-09 12:18:14,0.158s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 12:18:14,2017-12-09 12:18:16,2.136s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:18:16,2017-12-09 12:18:16,0.065s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-09 12:18:16,2017-12-09 12:18:16,0.048s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 12:18:16,2017-12-09 12:18:18,2.002s,PASSED
com.helper.login.LoginHelper.logoutFromApplication,Chrome 63.0.3239.84,,2017-12-09 12:18:18,2017-12-09 12:18:20,1.407s,PASSED
,,,,,,
Test Cases/Verification/TC-VerifyTextPresent,Chrome 63.0.3239.84,Test case for text verification,2017-12-09 12:18:20,2017-12-09 12:18:33,13.221s,PASSED
com.helper.login.LoginHelper.loginIntoApplicationWith,Chrome 63.0.3239.84,,2017-12-09 12:18:20,2017-12-09 12:18:28,8.616s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:18:28,2017-12-09 12:18:29,0.044s,PASSED
verifyTextPresent,Chrome 63.0.3239.84,,2017-12-09 12:18:29,2017-12-09 12:18:29,0.090s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 12:18:29,2017-12-09 12:18:31,2.002s,PASSED
com.helper.login.LoginHelper.logoutFromApplication,Chrome 63.0.3239.84,,2017-12-09 12:18:31,2017-12-09 12:18:33,2.174s,PASSED
,,,,,,
Test Cases/Verification/TC-VerifySaveButtonScriptMode,Chrome 63.0.3239.84,,2017-12-09 12:18:33,2017-12-09 12:18:47,14.300s,FAILED
com.helper.login.LoginHelper.loginIntoApplicationWith,Chrome 63.0.3239.84,,2017-12-09 12:18:33,2017-12-09 12:18:42,8.731s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:18:42,2017-12-09 12:18:42,0.079s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 12:18:42,2017-12-09 12:18:43,1.400s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:18:43,2017-12-09 12:18:43,0.034s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2017-12-09 12:18:43,2017-12-09 12:18:43,0.086s,PASSED
sendKeys,Chrome 63.0.3239.84,,2017-12-09 12:18:43,2017-12-09 12:18:44,0.094s,PASSED
sendKeys,Chrome 63.0.3239.84,,2017-12-09 12:18:44,2017-12-09 12:18:44,0.116s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 12:18:44,2017-12-09 12:18:46,1.987s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:18:46,2017-12-09 12:18:46,0.049s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-09 12:18:46,2017-12-09 12:18:47,1.492s,FAILED
