Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JavaScriptTestSuite,Chrome 63.0.3239.84,Test suite for java script popup,2017-12-09 20:16:12,2017-12-09 20:16:39,26.938s,FAILED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingConfirmationPopupScriptMode,Chrome 63.0.3239.84,,2017-12-09 20:16:13,2017-12-09 20:16:22,9.374s,FAILED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 20:16:14,2017-12-09 20:16:20,6.637s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 20:16:20,2017-12-09 20:16:21,0.131s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 20:16:21,2017-12-09 20:16:22,1.137s,PASSED
scrollToElement,Chrome 63.0.3239.84,,2017-12-09 20:16:22,2017-12-09 20:16:22,0.103s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 20:16:22,2017-12-09 20:16:22,0.407s,FAILED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptAlertScriptMode,Chrome 63.0.3239.84,,2017-12-09 20:16:22,2017-12-09 20:16:33,10.324s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 20:16:23,2017-12-09 20:16:27,4.667s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 20:16:27,2017-12-09 20:16:27,0.007s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 20:16:27,2017-12-09 20:16:28,1.113s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 20:16:28,2017-12-09 20:16:29,0.103s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 20:16:29,2017-12-09 20:16:31,2.032s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 20:16:31,2017-12-09 20:16:31,0.074s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 20:16:31,2017-12-09 20:16:32,1.157s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 20:16:32,2017-12-09 20:16:32,0.095s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 20:16:32,2017-12-09 20:16:32,0.020s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 20:16:32,2017-12-09 20:16:32,0.030s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 20:16:32,2017-12-09 20:16:32,0.030s,PASSED
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 20:16:32,2017-12-09 20:16:32,0.075s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 20:16:32,2017-12-09 20:16:32,0.019s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 20:16:32,2017-12-09 20:16:33,0.578s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptConfirmation,Chrome 63.0.3239.84,,2017-12-09 20:16:33,2017-12-09 20:16:39,6.108s,FAILED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 20:16:33,2017-12-09 20:16:37,4.396s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 20:16:37,2017-12-09 20:16:37,0.008s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 20:16:37,2017-12-09 20:16:38,1.110s,PASSED
scrollToElement,Chrome 63.0.3239.84,,2017-12-09 20:16:38,2017-12-09 20:16:38,0.032s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 20:16:38,2017-12-09 20:16:39,0.301s,FAILED
