Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JavaScriptTestSuite,Chrome 63.0.3239.84,Test suite for java script popup,2017-12-09 11:53:22,2017-12-09 11:54:01,39.441s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingConfirmationPopupScriptMode,Chrome 63.0.3239.84,,2017-12-09 11:53:22,2017-12-09 11:53:37,14.262s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 11:53:24,2017-12-09 11:53:30,6.761s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 11:53:30,2017-12-09 11:53:30,0.103s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 11:53:30,2017-12-09 11:53:32,1.132s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:53:32,2017-12-09 11:53:32,0.196s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 11:53:32,2017-12-09 11:53:34,2.051s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:53:34,2017-12-09 11:53:34,0.066s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 11:53:34,2017-12-09 11:53:35,1.111s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:53:35,2017-12-09 11:53:35,0.491s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 11:53:35,2017-12-09 11:53:36,0.043s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 11:53:36,2017-12-09 11:53:36,0.035s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:53:36,2017-12-09 11:53:36,0.204s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 11:53:36,2017-12-09 11:53:36,0.009s,PASSED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 63.0.3239.84,,2017-12-09 11:53:36,2017-12-09 11:53:36,0.068s,PASSED
Statement - println(alertText),Chrome 63.0.3239.84,,2017-12-09 11:53:36,2017-12-09 11:53:36,0.007s,PASSED
dismissAlert,Chrome 63.0.3239.84,,2017-12-09 11:53:36,2017-12-09 11:53:36,0.043s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 11:53:36,2017-12-09 11:53:36,0.051s,PASSED
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:53:36,2017-12-09 11:53:36,0.178s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:53:36,2017-12-09 11:53:36,0.010s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 11:53:36,2017-12-09 11:53:37,0.592s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptAlertScriptMode,Chrome 63.0.3239.84,,2017-12-09 11:53:37,2017-12-09 11:53:48,10.938s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 11:53:37,2017-12-09 11:53:42,5.492s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 11:53:42,2017-12-09 11:53:42,0.021s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 11:53:42,2017-12-09 11:53:44,1.107s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:53:44,2017-12-09 11:53:44,0.113s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 11:53:44,2017-12-09 11:53:46,2.001s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:53:46,2017-12-09 11:53:46,0.016s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 11:53:46,2017-12-09 11:53:47,1.089s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:53:47,2017-12-09 11:53:47,0.160s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 11:53:47,2017-12-09 11:53:47,0.004s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 11:53:47,2017-12-09 11:53:47,0.007s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 11:53:47,2017-12-09 11:53:47,0.017s,PASSED
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:53:47,2017-12-09 11:53:47,0.083s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:53:47,2017-12-09 11:53:47,0.013s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 11:53:47,2017-12-09 11:53:48,0.599s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptConfirmation,Chrome 63.0.3239.84,,2017-12-09 11:53:48,2017-12-09 11:54:01,13.402s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 11:53:48,2017-12-09 11:53:54,5.733s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 11:53:54,2017-12-09 11:53:54,0.022s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 11:53:54,2017-12-09 11:53:55,1.107s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:53:55,2017-12-09 11:53:55,0.105s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 11:53:55,2017-12-09 11:53:57,2.002s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:53:57,2017-12-09 11:53:57,0.016s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 11:53:57,2017-12-09 11:53:59,1.539s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:53:59,2017-12-09 11:53:59,0.117s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 11:53:59,2017-12-09 11:53:59,0.005s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 11:53:59,2017-12-09 11:53:59,0.011s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 11:53:59,2017-12-09 11:54:00,1.001s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:54:00,2017-12-09 11:54:00,0.581s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 11:54:00,2017-12-09 11:54:00,0.005s,PASSED
dismissAlert,Chrome 63.0.3239.84,,2017-12-09 11:54:00,2017-12-09 11:54:00,0.019s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 11:54:00,2017-12-09 11:54:00,0.019s,PASSED
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:54:00,2017-12-09 11:54:01,0.171s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 11:54:01,2017-12-09 11:54:01,0.037s,PASSED
